Electoral_District,Electoral_District_Name,Polling_Station_Number,Polling_Station_Name,Electors_for_Polling_Station,Candidate_Family_Name,Candidate_Middle_Name,Candidate_First_Name,Political_Affiliation_Name_English,Incumbent_Indicator,Elected_Candidate_Indicator,Candidate_Poll_Votes_Count
35001,Ajax,27,Ajax,559,Kesic,,Bob,United Party,N,N,0
35001,Ajax, 28A,Ajax,345,Alexander,,Chris,Conservative,Y,N,42
35001,Ajax, 28A,Ajax,345,Brown,,Stephanie,NDP-New Democratic Party,N,N,10
35001,Ajax, 28A,Ajax,345,Hill,,Jeff,Green Party,N,N,1
35001,Ajax, 28A,Ajax,345,Holland,,Mark,Liberal,N,Y,111
35001,Ajax, 28A,Ajax,345,Kesic,,Bob,United Party,N,N,0
35001,Ajax, 28B,Ajax,326,Alexander,,Chris,Conservative,Y,N,36
35001,Ajax, 28B,Ajax,326,Brown,,Stephanie,NDP-New Democratic Party,N,N,6
35001,Ajax, 28B,Ajax,326,Hill,,Jeff,Green Party,N,N,2
35001,Ajax, 28B,Ajax,326,Holland,,Mark,Liberal,N,Y,83
35001,Ajax, 28B,Ajax,326,Kesic,,Bob,United Party,N,N,0
35001,Ajax,29,Ajax,488,Alexander,,Chris,Conservative,Y,N,71
35001,Ajax,29,Ajax,488,Brown,,Stephanie,NDP-New Democratic Party,N,N,13
35001,Ajax,29,Ajax,488,Hill,,Jeff,Green Party,N,N,2
35001,Ajax,29,Ajax,488,Holland,,Mark,Liberal,N,Y,143
35001,Ajax,29,Ajax,488,Kesic,,Bob,United Party,N,N,0
35001,Ajax,30,Ajax,540,Alexander,,Chris,Conservative,Y,N,72
35001,Ajax,30,Ajax,540,Brown,,Stephanie,NDP-New Democratic Party,N,N,9
35001,Ajax,30,Ajax,540,Hill,,Jeff,Green Party,N,N,1
35001,Ajax,30,Ajax,540,Holland,,Mark,Liberal,N,Y,184
35001,Ajax,30,Ajax,540,Kesic,,Bob,United Party,N,N,0
35001,Ajax,31,Ajax,399,Alexander,,Chris,Conservative,Y,N,66
35001,Ajax,31,Ajax,399,Brown,,Stephanie,NDP-New Democratic Party,N,N,9
35001,Ajax,31,Ajax,399,Hill,,Jeff,Green Party,N,N,0
35001,Ajax,31,Ajax,399,Holland,,Mark,Liberal,N,Y,89
35001,Ajax,31,Ajax,399,Kesic,,Bob,United Party,N,N,0
35001,Ajax,32,Ajax,445,Alexander,,Chris,Conservative,Y,N,86
35001,Ajax,32,Ajax,445,Brown,,Stephanie,NDP-New Democratic Party,N,N,20
35001,Ajax,32,Ajax,445,Hill,,Jeff,Green Party,N,N,2
35001,Ajax,32,Ajax,445,Holland,,Mark,Liberal,N,Y,133
35001,Ajax,32,Ajax,445,Kesic,,Bob,United Party,N,N,0
35001,Ajax,33,Ajax,491,Alexander,,Chris,Conservative,Y,N,106
35001,Ajax,33,Ajax,491,Brown,,Stephanie,NDP-New Democratic Party,N,N,31
35001,Ajax,33,Ajax,491,Hill,,Jeff,Green Party,N,N,3
35001,Ajax,33,Ajax,491,Holland,,Mark,Liberal,N,Y,127
35001,Ajax,33,Ajax,491,Kesic,,Bob,United Party,N,N,0
35001,Ajax,34,Ajax,428,Alexander,,Chris,Conservative,Y,N,73
35001,Ajax,34,Ajax,428,Brown,,Stephanie,NDP-New Democratic Party,N,N,24
35001,Ajax,34,Ajax,428,Hill,,Jeff,Green Party,N,N,2
35001,Ajax,34,Ajax,428,Holland,,Mark,Liberal,N,Y,93
35001,Ajax,34,Ajax,428,Kesic,,Bob,United Party,N,N,0
35001,Ajax,35,Ajax,384,Alexander,,Chris,Conservative,Y,N,60
35001,Ajax,35,Ajax,384,Brown,,Stephanie,NDP-New Democratic Party,N,N,14
35001,Ajax,35,Ajax,384,Hill,,Jeff,Green Party,N,N,3
35001,Ajax,35,Ajax,384,Holland,,Mark,Liberal,N,Y,108
35001,Ajax,35,Ajax,384,Kesic,,Bob,United Party,N,N,0
35001,Ajax,36,Ajax,451,Alexander,,Chris,Conservative,Y,N,44
35001,Ajax,36,Ajax,451,Brown,,Stephanie,NDP-New Democratic Party,N,N,29
35001,Ajax,36,Ajax,451,Hill,,Jeff,Green Party,N,N,4
35001,Ajax,36,Ajax,451,Holland,,Mark,Liberal,N,Y,128
35001,Ajax,36,Ajax,451,Kesic,,Bob,United Party,N,N,0
35001,Ajax,37,Ajax,387,Alexander,,Chris,Conservative,Y,N,50
35001,Ajax,37,Ajax,387,Brown,,Stephanie,NDP-New Democratic Party,N,N,15
35001,Ajax,37,Ajax,387,Hill,,Jeff,Green Party,N,N,0
35001,Ajax,37,Ajax,387,Holland,,Mark,Liberal,N,Y,123
35001,Ajax,37,Ajax,387,Kesic,,Bob,United Party,N,N,0
35001,Ajax,38,Ajax,360,Alexander,,Chris,Conservative,Y,N,58
35001,Ajax,38,Ajax,360,Brown,,Stephanie,NDP-New Democratic Party,N,N,14
35001,Ajax,38,Ajax,360,Hill,,Jeff,Green Party,N,N,2
35001,Ajax,38,Ajax,360,Holland,,Mark,Liberal,N,Y,99
35001,Ajax,38,Ajax,360,Kesic,,Bob,United Party,N,N,0
35001,Ajax,39,Ajax,369,Alexander,,Chris,Conservative,Y,N,67
35001,Ajax,39,Ajax,369,Brown,,Stephanie,NDP-New Democratic Party,N,N,8
35001,Ajax,39,Ajax,369,Hill,,Jeff,Green Party,N,N,6
35001,Ajax,39,Ajax,369,Holland,,Mark,Liberal,N,Y,123
35001,Ajax,39,Ajax,369,Kesic,,Bob,United Party,N,N,0
35001,Ajax,40,Ajax,390,Alexander,,Chris,Conservative,Y,N,40
35001,Ajax,40,Ajax,390,Brown,,Stephanie,NDP-New Democratic Party,N,N,12
35001,Ajax,40,Ajax,390,Hill,,Jeff,Green Party,N,N,2
35001,Ajax,40,Ajax,390,Holland,,Mark,Liberal,N,Y,100
35001,Ajax,40,Ajax,390,Kesic,,Bob,United Party,N,N,0
35001,Ajax,41,Ajax,339,Alexander,,Chris,Conservative,Y,N,35
35001,Ajax,41,Ajax,339,Brown,,Stephanie,NDP-New Democratic Party,N,N,11
35001,Ajax,41,Ajax,339,Hill,,Jeff,Green Party,N,N,1
35001,Ajax,41,Ajax,339,Holland,,Mark,Liberal,N,Y,93
35001,Ajax,41,Ajax,339,Kesic,,Bob,United Party,N,N,1
35001,Ajax,42,Ajax,424,Alexander,,Chris,Conservative,Y,N,78
35001,Ajax,42,Ajax,424,Brown,,Stephanie,NDP-New Democratic Party,N,N,18
35001,Ajax,42,Ajax,424,Hill,,Jeff,Green Party,N,N,2
35001,Ajax,42,Ajax,424,Holland,,Mark,Liberal,N,Y,117
35001,Ajax,42,Ajax,424,Kesic,,Bob,United Party,N,N,0
35001,Ajax,43,Ajax,370,Alexander,,Chris,Conservative,Y,N,50
35001,Ajax,43,Ajax,370,Brown,,Stephanie,NDP-New Democratic Party,N,N,15
35001,Ajax,43,Ajax,370,Hill,,Jeff,Green Party,N,N,3
35001,Ajax,43,Ajax,370,Holland,,Mark,Liberal,N,Y,127
35001,Ajax,43,Ajax,370,Kesic,,Bob,United Party,N,N,0
35001,Ajax,44,Ajax,384,Alexander,,Chris,Conservative,Y,N,69
35001,Ajax,44,Ajax,384,Brown,,Stephanie,NDP-New Democratic Party,N,N,15
35001,Ajax,44,Ajax,384,Hill,,Jeff,Green Party,N,N,6
35001,Ajax,44,Ajax,384,Holland,,Mark,Liberal,N,Y,114
35001,Ajax,44,Ajax,384,Kesic,,Bob,United Party,N,N,0
35001,Ajax,45,Ajax,538,Alexander,,Chris,Conservative,Y,N,49
35001,Ajax,45,Ajax,538,Brown,,Stephanie,NDP-New Democratic Party,N,N,19
35001,Ajax,45,Ajax,538,Hill,,Jeff,Green Party,N,N,2
35001,Ajax,45,Ajax,538,Holland,,Mark,Liberal,N,Y,160
35001,Ajax,45,Ajax,538,Kesic,,Bob,United Party,N,N,0
35001,Ajax,46,Ajax,520,Alexander,,Chris,Conservative,Y,N,74
35001,Ajax,46,Ajax,520,Brown,,Stephanie,NDP-New Democratic Party,N,N,22
35001,Ajax,46,Ajax,520,Hill,,Jeff,Green Party,N,N,2
35001,Ajax,46,Ajax,520,Holland,,Mark,Liberal,N,Y,144
35001,Ajax,46,Ajax,520,Kesic,,Bob,United Party,N,N,0
35001,Ajax,47,Ajax,399,Alexander,,Chris,Conservative,Y,N,71
35001,Ajax,47,Ajax,399,Brown,,Stephanie,NDP-New Democratic Party,N,N,29
35001,Ajax,47,Ajax,399,Hill,,Jeff,Green Party,N,N,6
35001,Ajax,47,Ajax,399,Holland,,Mark,Liberal,N,Y,106
35001,Ajax,47,Ajax,399,Kesic,,Bob,United Party,N,N,0
35001,Ajax,48,Ajax,419,Alexander,,Chris,Conservative,Y,N,61
35001,Ajax,48,Ajax,419,Brown,,Stephanie,NDP-New Democratic Party,N,N,18
35001,Ajax,48,Ajax,419,Hill,,Jeff,Green Party,N,N,3
35001,Ajax,48,Ajax,419,Holland,,Mark,Liberal,N,Y,123
35001,Ajax,48,Ajax,419,Kesic,,Bob,United Party,N,N,0
35001,Ajax,49,Ajax,527,Alexander,,Chris,Conservative,Y,N,64
35001,Ajax,49,Ajax,527,Brown,,Stephanie,NDP-New Democratic Party,N,N,14
35001,Ajax,49,Ajax,527,Hill,,Jeff,Green Party,N,N,5
35001,Ajax,49,Ajax,527,Holland,,Mark,Liberal,N,Y,169
35001,Ajax,49,Ajax,527,Kesic,,Bob,United Party,N,N,0
35001,Ajax,50,Ajax,440,Alexander,,Chris,Conservative,Y,N,61
35001,Ajax,50,Ajax,440,Brown,,Stephanie,NDP-New Democratic Party,N,N,8
35001,Ajax,50,Ajax,440,Hill,,Jeff,Green Party,N,N,0
35001,Ajax,50,Ajax,440,Holland,,Mark,Liberal,N,Y,162
35001,Ajax,50,Ajax,440,Kesic,,Bob,United Party,N,N,0
35001,Ajax,51,Ajax,430,Alexander,,Chris,Conservative,Y,N,81
35001,Ajax,51,Ajax,430,Brown,,Stephanie,NDP-New Democratic Party,N,N,7
35001,Ajax,51,Ajax,430,Hill,,Jeff,Green Party,N,N,0
35001,Ajax,51,Ajax,430,Holland,,Mark,Liberal,N,Y,127
35001,Ajax,51,Ajax,430,Kesic,,Bob,United Party,N,N,0
35001,Ajax,52,Ajax,424,Alexander,,Chris,Conservative,Y,N,44
35001,Ajax,52,Ajax,424,Brown,,Stephanie,NDP-New Democratic Party,N,N,4
35001,Ajax,52,Ajax,424,Hill,,Jeff,Green Party,N,N,0
35001,Ajax,52,Ajax,424,Holland,,Mark,Liberal,N,Y,159
35001,Ajax,52,Ajax,424,Kesic,,Bob,United Party,N,N,0
35001,Ajax,53,Ajax,414,Alexander,,Chris,Conservative,Y,N,52
35001,Ajax,53,Ajax,414,Brown,,Stephanie,NDP-New Democratic Party,N,N,12
35001,Ajax,53,Ajax,414,Hill,,Jeff,Green Party,N,N,3
35001,Ajax,53,Ajax,414,Holland,,Mark,Liberal,N,Y,153
35001,Ajax,53,Ajax,414,Kesic,,Bob,United Party,N,N,0
35001,Ajax,54,Ajax,529,Alexander,,Chris,Conservative,Y,N,94
35001,Ajax,54,Ajax,529,Brown,,Stephanie,NDP-New Democratic Party,N,N,11
35001,Ajax,54,Ajax,529,Hill,,Jeff,Green Party,N,N,4
35001,Ajax,54,Ajax,529,Holland,,Mark,Liberal,N,Y,155
35001,Ajax,54,Ajax,529,Kesic,,Bob,United Party,N,N,0
35001,Ajax,55,Ajax,525,Alexander,,Chris,Conservative,Y,N,73
35001,Ajax,55,Ajax,525,Brown,,Stephanie,NDP-New Democratic Party,N,N,15
35001,Ajax,55,Ajax,525,Hill,,Jeff,Green Party,N,N,2
35001,Ajax,55,Ajax,525,Holland,,Mark,Liberal,N,Y,157
35001,Ajax,55,Ajax,525,Kesic,,Bob,United Party,N,N,0
35001,Ajax,56,Ajax,452,Alexander,,Chris,Conservative,Y,N,66
35001,Ajax,56,Ajax,452,Brown,,Stephanie,NDP-New Democratic Party,N,N,16
35001,Ajax,56,Ajax,452,Hill,,Jeff,Green Party,N,N,2
35001,Ajax,56,Ajax,452,Holland,,Mark,Liberal,N,Y,150
35001,Ajax,56,Ajax,452,Kesic,,Bob,United Party,N,N,1
35001,Ajax,57,Ajax,368,Alexander,,Chris,Conservative,Y,N,57
35001,Ajax,57,Ajax,368,Brown,,Stephanie,NDP-New Democratic Party,N,N,9
35001,Ajax,57,Ajax,368,Hill,,Jeff,Green Party,N,N,0
35001,Ajax,57,Ajax,368,Holland,,Mark,Liberal,N,Y,118
35001,Ajax,57,Ajax,368,Kesic,,Bob,United Party,N,N,0
35001,Ajax,58,Ajax,452,Alexander,,Chris,Conservative,Y,N,82
35001,Ajax,58,Ajax,452,Brown,,Stephanie,NDP-New Democratic Party,N,N,5
35001,Ajax,58,Ajax,452,Hill,,Jeff,Green Party,N,N,1
35001,Ajax,58,Ajax,452,Holland,,Mark,Liberal,N,Y,117
35001,Ajax,58,Ajax,452,Kesic,,Bob,United Party,N,N,0
